movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,12/21/1937,Musical,G,184925485,5228953251
Pinocchio,2/9/1940,Adventure,G,84300000,2188229052
Fantasia,11/13/1940,Musical,G,83320000,2187090808
Song of the South,11/12/1946,Adventure,G,65000000,1078510579
Cinderella,2/15/1950,Drama,G,85000000,920608730
"20,000 Leagues Under the Sea",12/23/1954,Adventure,,28200000,528279994
Lady and the Tramp,6/22/1955,Drama,G,93600000,1236035515
Sleeping Beauty,1/29/1959,Drama,,9464608,21505832
101 Dalmatians,1/25/1961,Comedy,G,153000000,1362870985
The Absent Minded Professor,3/16/1961,Comedy,,25381407,310094574
Babes in Toyland,12/14/1961,Musical,G,10218316,124841160
Bon Voyage!,5/17/1962,Comedy,Not Rated,9230769,109581646
The Sword in the Stone,12/25/1963,Adventure,,22182353,153870834
The Jungle Book,10/18/1967,Musical,Not Rated,141843000,789612346
Blackbeard's Ghost,2/8/1968,Comedy,,21540050,138612686
The Aristocats,4/24/1970,Musical,G,55675257,255161499
The Boatniks,7/1/1970,Comedy,,18607492,101200742
Bedknobs and Broomsticks,10/7/1971,Musical,,17871174,91305448
The Apple Dumpling Gang,7/1/1975,Comedy,,31916500,131246872
Freaky Friday,1/21/1977,Comedy,,25942000,98067733
The Many Adventures of Winnie the Pooh,3/11/1977,,,0,0
The Rescuers,6/22/1977,Adventure,,48775599,159743914
Herbie Goes to Monte Carlo,6/24/1977,,,28000000,105847527
The Black Hole,12/21/1979,,,35841901,120377374
Midnight Madness,2/8/1980,,,2900000,9088096
The Last Flight of Noah’s Ark,6/25/1980,,,11000000,34472116
The Devil and Max Devlin,1/1/1981,,,16000000,48517980
Amy,3/20/1981,Drama,,0,0
The Fox and the Hound,7/10/1981,Comedy,,43899231,133118889
Condorman,8/7/1981,Action,,0,0
Night Crossing,2/5/1982,Drama,,4500000,12903059
Tron,7/9/1982,Action,,26918576,77184895
Tex,11/19/1982,Drama,,7199408,20643199
Trenchcoat,3/11/1983,Comedy,,4304286,11519089
Something Wicked This Way Comes,4/29/1983,Horror,,5656087,15136765
Never Cry Wolf,10/7/1983,Drama,,27668764,70669955
Running Brave,11/4/1983,Drama,,1204595,3223725
Splash,3/9/1984,Comedy,PG,62599495,157057661
Country,9/29/1984,Drama,,8400000,21075000
Baby: Secret of the Lost Legend,3/22/1985,Adventure,,14276095,33900697
Return to Oz,6/21/1985,Adventure,,10618813,25215934
The Black Cauldron,7/24/1985,Adventure,,21288692,50553142
My Science Project,8/9/1985,Comedy,,4100000,9736051
The Journey of Natty Gann,9/27/1985,Drama,,9468512,22302956
One Magic Christmas,11/22/1985,Drama,,13229514,31415432
Down and Out in Beverly Hills,1/31/1986,Comedy,R,62134225,141183693
Off Beat,4/11/1986,Comedy,,4842778,11003932
Ruthless People,6/27/1986,Comedy,R,71624879,162748712
The Great Mouse Detective,7/2/1986,Adventure,,23605534,53637367
Flight of the Navigator,7/30/1986,Adventure,,18564613,42183197
Tough Guys,10/3/1986,Comedy,,21458229,48758184
The Color of Money,10/17/1986,Drama,R,52293000,117957323
Outrageous Fortune,1/30/1987,Comedy,R,52864741,113976921
Tin Men,3/6/1987,Comedy,,25411386,54787202
Ernest Goes to Camp,5/22/1987,Comedy,,23509382,50686462
Benji the Hunted,6/5/1987,Adventure,,15212539,32798382
Adventures in Babysitting,7/3/1987,Comedy,,33790923,72853569
Stakeout,8/5/1987,Comedy,R,65673233,141592160
Can't Buy Me Love,8/14/1987,Romantic Comedy,,31623833,68181300
Hello Again,11/6/1987,Comedy,,20419446,44024529
3 Men and a Baby,11/25/1987,Comedy,PG,167780960,353334607
Good Morning Vietnam,12/23/1987,Comedy,R,123922370,254414837
Shoot to Kill,2/12/1988,Action,,29300000,60097074
D.O.A.,3/18/1988,Thriller/Suspense,,12706478,26062188
Return to Snowy River,4/15/1988,Adventure,PG,13687027,28073384
Big Business,6/10/1988,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,6/22/1988,Comedy,PG,154112492,316250084
Cocktail,7/29/1988,Drama,R,78222753,160442289
The Rescue,8/5/1988,Action,,5855392,12009960
Heartbreak Hotel,9/30/1988,Comedy,,5509417,11300331
The Good Mother,11/4/1988,Drama,,4764606,9772655
Ernest Saves Christmas,11/11/1988,Comedy,PG,28202109,57845202
Oliver & Company,11/18/1988,Adventure,G,49576671,102254492
Beaches,12/21/1988,Drama,PG-13,57041866,120381757
Three Fugitives,1/27/1989,Comedy,PG-13,40590000,85757817
New York Stories,3/1/1989,Drama,PG,10763469,22740861
Disorganized Crime,4/14/1989,Comedy,,7210149,15233465
Dead Poets Society,6/2/1989,Drama,PG,95860116,202531517
"Honey, I Shrunk the Kids",6/23/1989,Adventure,PG,130724172,276191669
Turner & Hooch,7/28/1989,Comedy,PG,71079915,150176361
Cheetah,8/18/1989,Adventure,,7882250,16653473
An Innocent Man,10/6/1989,Drama,R,19397847,40983414
Gross Anatomy,10/20/1989,Drama,PG-13,11346186,23972012
The Little Mermaid,11/15/1989,Adventure,G,111543479,223726012
Blaze,12/13/1989,Drama,R,19049727,39884640
Stella,2/2/1990,Drama,PG-13,20062347,40077147
Where the Heart Is,2/23/1990,Comedy,,1106475,2210321
Pretty Woman,3/23/1990,Romantic Comedy,R,178406268,356389765
Ernest Goes to Jail,4/6/1990,Comedy,PG,25029569,49999822
Spaced Invaders,4/27/1990,Comedy,PG,15000000,29964452
Fire Birds,5/24/1990,Action,PG-13,14760451,29485923
Dick Tracy,6/15/1990,Action,PG,103738726,207231621
Betsy's Wedding,6/22/1990,Comedy,R,19740070,39433357
Arachnophobia,7/18/1990,Thriller/Suspense,PG-13,53208180,106290270
DuckTales: The Movie - Treasure of thâ€¦,8/3/1990,Adventure,G,18075331,36107823
Taking Care of Business,8/17/1990,Comedy,R,20005435,39963460
Mr. Destiny,10/12/1990,Comedy,PG-13,15379253,30722056
The Rescuers Down Under,11/16/1990,Adventure,G,27931461,55796728
3 Men and a Little Lady,11/21/1990,Comedy,PG,71609321,143108869
Green Card,12/25/1990,Romantic Comedy,PG-13,29804169,59679131
White Fang,1/18/1991,Adventure,PG,34729091,69540672
Scenes from a Mall,2/22/1991,Comedy,,9563393,19149495
Haakon Haakonsen,3/1/1991,Adventure,PG,15024232,30084149
The Marrying Man,4/5/1991,Romantic Comedy,R,12454768,24939118
Oscar,4/26/1991,Comedy,PG,23562716,47181395
One Good Cop,5/3/1991,Action,R,11276846,22580472
What About Bob?,5/17/1991,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,5/24/1991,Drama,,7300000,14617333
The Rocketeer,6/21/1991,Action,PG,46573027,93256673
The Doctor,7/24/1991,Drama,PG-13,37497480,75084021
Paradise,9/18/1991,Drama,PG-13,18634643,37313540
Deceived,9/27/1991,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,10/11/1991,Comedy,PG,14143280,28320147
Billy Bathgate,11/1/1991,Drama,R,15565363,31167691
Beauty and the Beast,11/13/1991,Musical,G,218951625,363017667
Father of the Bride,12/20/1991,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,1/10/1992,Thriller/Suspense,R,88036683,178831137
Medicine Man,2/7/1992,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,3/6/1992,Comedy,PG-13,2891055,5872667
Noises Off...,3/20/1992,Comedy,PG-13,2280148,4631720
Straight Talk,4/3/1992,Comedy,PG,21202099,43068356
Newsies,4/8/1992,,PG,2706352,5497481
Passed Away,4/24/1992,,PG-13,4030793,8187848
Encino Man,5/22/1992,Comedy,PG,40057130,81369058
Sister Act,5/29/1992,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,7/17/1992,Comedy,PG,58662452,119162518
A Stranger Among Us,7/17/1992,Drama,PG-13,12282994,24950752
3 Ninjas,8/7/1992,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,8/21/1992,,PG-13,3591460,7295423
Captain Ron,9/18/1992,Comedy,PG-13,22518097,45741576
Sarafina!,9/18/1992,Drama,PG-13,7306242,14841352
Innocent Blood,9/25/1992,Horror,R,4877567,9907922
The Mighty Ducks,10/2/1992,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,10/9/1992,Adventure,PG-13,7099531,14421454
Consenting Adults,10/16/1992,Drama,R,21591728,43859823
Aladdin,11/11/1992,Comedy,G,217350219,441969178
The Distinguished Gentleman,12/4/1992,Comedy,R,46434570,94349900
The Muppet Christmas Carol,12/11/1992,Comedy,G,27281507,55417615
Alive,1/15/1993,Adventure,R,36299670,73914543
Aspen Extreme,1/22/1993,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,2/3/1993,Adventure,G,41833324,85182343
The Cemetery Club,2/3/1993,Comedy,PG-13,5583621,11369541
Swing Kids,3/5/1993,Musical,PG-13,5632086,11468231
A Far Off Place,3/12/1993,Adventure,PG,12890752,26248558
Born Yesterday,3/26/1993,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,4/2/1993,Adventure,PG,24103594,49080505
Bound by Honor,4/16/1993,,R,4496583,9156084
Indian Summer,4/23/1993,Comedy,R,14717851,29968953
Super Mario Bros.,5/28/1993,Action,PG,20844907,42445058
Guilty as Sin,6/4/1993,Thriller/Suspense,R,22622537,46064723
Life With Mikey,6/4/1993,Comedy,PG,12349549,25146538
What's Love Got to Do With It,6/9/1993,Drama,R,39100956,79618610
